ID;Authority;AuthorityCountry;Date;Fine;OrganizationPublished;Specific;OrganizationMatched;OrganizationCountry;OrganizationSector;OrganizationRevenue;OrganizationEmployees;OrganizationStatus;OrganizationDomestic;Articles;Type;Summary;Source
1;Austrian Data Protection Authority (dsb);Austria;09.12.18;4800;Betting place;No;NA;NA;Sports, Fitness & Recreation;NA;NA;NA;Yes;Art. 13 GDPR;Insufficient fulfilment of information obligations;Video surveillance was not sufficiently marked and a large part of the sidewalk of the facility was recorded. Surveillance of the public space in this way, i.e. on a large scale by private individuals, is not permitted.;https://www.dsb.gv.at/documents/22758/116802/Straferkenntnis+DSB-D550.038+0003-DSB+2018.pdf/fb0bb313-8651-44ac-a713-c286d83e3f19
2;Austrian Data Protection Authority (dsb);Austria;NA;1800;Kebab restaurant;No;NA;NA;Restaurants, Cafes & Bars;NA;NA;NA;Yes;Art. 5 GDPR, Art. 13 GDPR, Art. 14 GDPR;Insufficient legal basis for data processing;CCTV was unlawfully used. Sufficient information about the video surveillance was missing. In addition, the storage period of 14 days was too long and therefore against the principle of data minimization. Addendum: Fine has been reduced to EUR 1500 by court, see link;https://www.dsb.gv.at/documents/22758/115212/Newsletter_DSB_1_2020.pdf/a640bbb8-9297-4230-86e4-163bc9ccb844
5;Belgian Data Protection Authority (APD);Belgium;28.05.19;2000;Mayor;No;NA;NA;Politics & Government;NA;NA;Other;Yes;Art. 5 (1) b) GDPR, Art. 6 GDPR;Insufficient legal basis for data processing;The administrative fine was imposed for the misuse of personal data by a mayor for campaign purposes.;https://www.autoriteprotectiondonnees.be/news/lautorite-de-protection-des-donnees-prononce-une-sanction-dans-le-cadre-dune-campagne
6;Bulgarian Commission for Personal Data Protection (KZLD);Bulgaria;04.12.18;500;Bank;No;NA;NA;Banks;NA;NA;NA;Yes;Art. 5 (1) b) GDPR, Art. 6 GDPR;Insufficient legal basis for data processing;"A fine of 1000 BGN (or roughly 500 EUR) was imposed on a bank for calling a client for the unresolved bills of his neighbor. This provoked the client to evoke his right to be forgotten. After not receiving any answer from the bank he filed another motion, for which the bank did take action in the statutory period. Nonetheless, the client filed a complaint to KZLD.

The infringement for which the bank was fined was for the processing of the client?s personal data was not linked to his consumer credit agreement. Since the purpose for which the data were processed was different from that communicated at the time of conclusion of the contract, the bank had, in the point of view of KZLD, to request additional consent from its client.";https://gdprtoolkit.eu/first-gdpr-fine-in-bulgaria/
7;Bulgarian Commission for Personal Data Protection (KZLD);Bulgaria;26.02.19;27100;Telecommunication service provider;No;NA;NA;Telecommunications;NA;NA;NA;Yes;Art. 6 GDPR, Art. 5 (1) a) GDPR;Insufficient legal basis for data processing;"Repeated registration of prepaid services without the knowledge and consent of the data subject

Employees of the telecommunications provider have used personal data and registered the complainant with the company's prepaid service. The data subject had not signed the application and had not consented to the processing of his personal data for the stated purpose. There was also no other legal basis applicable. The signature of the application and the complainant own genuine application were not identical and the persons personal identification number was indicated, but the identity card number was not the complainants one.";https://www.cpdp.bg/?p=element_view&aid=2180
8;Bulgarian Commission for Personal Data Protection (KZLD);Bulgaria;17.01.19;500;Bank;No;NA;NA;Banks;NA;NA;NA;Yes;Art. 6 GDPR, Art. 5 (1) a) GDPR;Insufficient legal basis for data processing;A bank gained personal data concernign a student wihtout a legal basis.;https://www.cpdp.bg/?p=element&aid=1195
9;Bulgarian Commission for Personal Data Protection (KZLD);Bulgaria;22.02.19;500;Employer;No;NA;NA;NA;NA;NA;NA;Yes;Art. 15 GDPR;Insufficient fulfilment of data subjects rights;An employee sent a request to his employer for access to personal data concerning him. The request was not answered in time and not in a complete way.;https://www.cpdp.bg/?p=element_view&aid=2177
10;Cypriot Data Protection Commissioner;Cyprus;NA;5000;State Hospital;No;NA;NA;Hospitals;NA;NA;NA;Yes;Art. 15 GDPR;Insufficient fulfilment of data subjects rights;A patient complained to the Commissioner that the request for access to her medical file was not satisfied by the hospital because the dossier could not be identified/located by the controller. After investigating the case, an administrative fine of ?5,000 was imposed on the hospital.;https://www.agplaw.com/cyprus-gdpr-commissioner-fines-newspaper-and-hospital/
11;Cypriot Data Protection Commissioner;Cyprus;NA;10000;Newspaper;No;NA;NA;Newspapers & Publishing;NA;NA;NA;Yes;Art. 6 GDPR;Insufficient legal basis for data processing;"The publication of the newspaper, both in hard copy and in electronic form, allegedly involved inconvenience, unnecessary and unlawful detention of a citizen, and revealed the names and pictures of the two police investigators involved, as well as the photograph of a third police investigator.

The Commissioner considered that the aim could be achieved by referring only to the initials of their name and/or their faces being blurred and/or publishing photographs drawn from a distant distance so that it was impossible to identify the persons, and these actions would not bring any change in the nature of the case.";https://www.agplaw.com/cyprus-gdpr-commissioner-fines-newspaper-and-hospital/
12;Czech Data Protection Auhtority (UOOU);Czech Republic;10.01.19;388;Employer;No;NA;NA;NA;NA;NA;NA;Yes;Art. 6 GDPR;Insufficient legal basis for data processing;A former employee of a company requested the deletion of information relating to him/her which was published on the Facebook website of the employer and which was still available long after the termination of the employment relationship. The fine was imposed because the employer did not delete the information relating to the former employee.;https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34464
13;Czech Data Protection Auhtority (UOOU);Czech Republic;04.02.19;1165;Car renting company;No;NA;NA;Services;NA;NA;NA;Yes;Art. 5 (1) a) GDPR;Insufficient fulfilment of information obligations;A person who rented a car found out that the car was tracked via GPS by the renting company even though there was no information provided on the fact that the car is being tracked. The Czech Data Protection Authority found that there was no information provided in terms of Art. 13 GDPR and that Art. 6 (1) f) GDPR could not be the legal basis under the concrete circumstances. Due to that the UOOU found that there was a violation of Art. 5 (1) a) GDPR for which it imposed the fine.;https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34465
15;Czech Data Protection Auhtority (UOOU);Czech Republic;04.02.19;1165;Credit brokerage;No;NA;NA;Finance & Insurance;NA;NA;NA;Yes;Art. 32 GDPR;Insufficient technical and organisational measures to ensure information security;Data was not processed in a manner that ensures appropriate security of the personal data, including protection against unauthorised or unlawful processing and against accidental loss, destruction or damage, using appropriate technical or organisational measures ('integrity and confidentiality').;https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34467
19;Czech Data Protection Auhtority (UOOU);Czech Republic;NA;3140;UniCredit Bank Czech Republic and Slovakia, a.s.;Yes;UniCredit SpA;Italy;Banks;28800000000;97775;Public;No;Art. 6 GDPR;Insufficient legal basis for data processing;The bank established a personal bank account for a data subject without his consent or knowledge. The bank supposedly had his personal data available because the subject had disposed of his employer?s company account. The bank was not able to provide The Office for Personal Data Protection with the necessary documentation to prove entering into contract with the data subject.;https://www.uoou.cz/kontrola-zpracovani-osobnich-udaju-bankou-unicredit-bank-czech-republic-and-slovakia-a-s/ds-5705/archiv=0&p1=5653
21;Danish Data Protection Authority (Datatilsynet);Denmark;NA;160000;Taxa 4x35;Yes;Sammenslutningen Taxa 4X35;Denmark;Transportation & Logistics;4000000;75;Private;Yes;Art. 5(1) e) GDPR;Non-compliance with general data processing principles;"The Danish DPA reported the taxi company to the police and recommended a fine (of 1.2M DKK) for non-adherence to the data-minimization principle. While the company deleted the names of its passengers from all its records after two years, the deletion did not include the rest of the ride records (about 8,873,333 taxi trips). Hence, the company continued to hold onto individual's phone numbers. 

Please note: Since Danish law does not provide for administrative fines as in the GDPR (unless it is an uncomplicated case and the accused person consented), fines will be imposed by courts.";https://www.datatilsynet.dk/presse-og-nyheder/nyhedsarkiv/2019/mar/datatilsynet-indstiller-taxaselskab-til-boede-paa-1-2-mio-kr/
22;Danish Data Protection Authority (Datatilsynet);Denmark;12.02.21;13450;IDdesign A / S;Yes;NA;Denmark;Wholesale;NA;NA;Private;Yes;Art. 5 (1) e) GDPR, Art. 5 (2) GDPR;Non-compliance with general data processing principles;"Original summary: On June 3, 2019, the Danish DPA (Datatilsynet) reported IDdesign to the police and demanded payment of a fine in the amount of EUR 200,850 for the processing of personal data of approximately 385,000 customers for a longer period than necessary for the purposes for which they were processed.  Additionally, the company had not established and documented deadlines for deletion of personal data in their new CRM system. The deadlines set for the old system were not deleted after the deadline for the information had been reached. Also, the controller had not adequately documented its personal data deletion procedures. 

Please note: Since Danish law does not provide for administrative fines as in the GDPR (unless it is an uncomplicated case and the accused person consented), fines will be imposed by courts. 

Update: On February 12, 2021 the Aarhus District Court decided to impose a fine against IDdesign in the amount of EUR 13,450. With regard to the calculation of the fine, the court disagreed with the proposed amount of the fine. It concluded that the amount should be calculated on the basis of the company's own turnover and not that of the entire group. In addition, the court considered that the mitigating circumstances under Art. 83 (2) GDPR should be taken into account when calculating the fine. Such as that the company had not previously breached the GDPR, as well as that the breach concerned only general personal data. In addition, no data subject suffered damages as a result of the breach. Finally, the court considers that the negligent nature of the breach should be taken into account.";https://www.datatilsynet.dk/tilsyn-og-afgoerelser/afgoerelser/2019/jun/tilsyn-med-iddesigns-behandling-af-personoplysninger/
23;French Data Protection Authority (CNIL);France;21.01.19;50000000;Google LLC;Yes;Google LLC;United States;IT Services;66000000000;139995;Public;No;Art. 13 GDPR, Art. 14 GDPR, Art. 6 GDPR, Art. 5 GDPR;Insufficient legal basis for data processing;The fine was imposed on the basis of complaints from the Austrian organisation 'None Of Your Business' and the French NGO 'La Quadrature du Net'. The complaints were filed on 25th and 28th of May 2018 - immediately after the GDPR became applicable. The complaints concerned the creation of a Google account during the configuration of a mobile phone using the Android operating system. The CNIL imposed a fine of 50 million euros for lack of transparency (Art. 5 GDPR), insufficient information (Art. 13 / 14 GDPR) and lack of legal basis (Art. 6 GDPR). The obtained consents had not been given 'specific' and not 'unambigous' (Art. 4 nr. 11 GDPR).;https://www.cnil.fr/en/cnils-restricted-committee-imposes-financial-penalty-50-million-euros-against-google-llc
24;French Data Protection Authority (CNIL);France;28.05.19;400000;SERGIC (Real Estate);Yes;Sergic Residences Services;France;Real Estate;25800000;44;Private;Yes;Art. 5 (1) e) GDPR;Insufficient technical and organisational measures to ensure information security;The CNIL based the penalty on two grounds: Lack of basic security measures and excessive data storage. As to the first, sensitive user documents uploaded by rental candidates (including ID cards, health cards, tax notices, certificates issued by the family allowance fund, divorce judgments, account statements) were accessible online without any authentication procedure in place. Although the vulnerability was known to the company since March 2018, it was not finally resolved until September 2018. In addition, the company stored the documentation provided by candidates for longer than necessary. The CNIL took into account i.a. the seriousness of the breach (lack of due care in addressing vulnerability and the fact that the documents revealed very intimate aspects of users' lives), the size of the company and its financial standing.;https://www.legifrance.gouv.fr/affichCnil.do?oldAction=rechExpCnil&id=CNILTEXT000038552658&fastReqId=119744754&fastPos=1
25;Data Protection Authority of Baden-Wuerttemberg;Germany;21.11.18;20000;Knuddels.de;Yes;Knuddels GmbH & Co. KG;Germany;IT Services;2700000;34;Private;Yes;Art. 32 GDPR;Insufficient technical and organisational measures to ensure information security;After a hacker attack in July personal data of approx. 330.000 users, including passwords and email addresses had been revealed.;https://www.baden-wuerttemberg.datenschutz.de/lfdi-baden-wuerttemberg-verhaengt-sein-erstes-bussgeld-in-deutschland-nach-der-ds-gvo/
26;Data Protection Authority of Hamburg;Germany;17.12.18;5000;Kolibri Image Regina und Dirk Maass GbR;Yes;Kolibri Image Regina und Dirk Maass GbR;Germany;Services;NA;NA;NA;Yes;Art. 28 (3) GDPR;Insufficient data processing agreement;"Please note: According to our information this fine has been withdrawn in the meantime. 

Kolibri Image had send a request to the Data Protection Authority of Hessen asking how to deal with a service provider who does not want to sign a processing agreement. After not answering Kolibri Image in more detail, the case was forwarded to the locally responsible Data Protection Authority of Hamburg. This Authority then fined Kolibri Image as controller for not having a processing agreement with the service provider. Kolibri Image has stated that they will challenge the decision in front of court since they are of the opinion that the service provider does not act as a processor.";https://www.heise.de/newsticker/meldung/DSGVO-5000-Euro-Bussgeld-fuer-fehlenden-Auftragsverarbeitungsvertrag-4282737.html
27;Data Protection Authority of Baden-Wuerttemberg;Germany;12.04.19;80000;Company in the financial sector;No;NA;NA;NA;NA;NA;NA;Yes;Art. 5 GDPR, Art. 32 GDPR;Insufficient technical and organisational measures to ensure information security;In an administrative decision dated 12 April 2019, the authority imposed a fine of 80,000 euros on a medium-sized financial services company. This company had failed to take the necessary care to preserve the integrity and confidentiality of information within the meaning of Art. 5 para. 1 lit. f GDPR when disposing of documents containing personal data of two customers. Thus, without prior anonymisation, the papers were disposed of in the general waste paper recycling system, where the documents were found by a neighbour.;https://www.baden-wuerttemberg.datenschutz.de/wp-content/uploads/2019/07/PM-Datenschutzverletzungen-bereiten-zunehmend-Sorge-30.07.2019.pdf
32;Data Protection Authority of Berlin;Germany;01.03.19;50000;N26;Yes;N26 GmbH;Germany;Banks;12600000;1500;Private;Yes;Art. 6 GDPR;Insufficient legal basis for data processing;The fine was imposed against against a bank (according to a newspaper N26) that had processed 'personal data of all former customers' without permission.The Bank has acknowledged that it had retained data relating to former customers in order to maintain a blacklist, a kind of warning file, so that it would not make a new account available to these persons. The bank initially justified this by stating that it was obliged under the German Banking Act to take security measures against customers suspected of money laundering. The Berlin supervisory authority judged this to be illegal. The authority argues that in order to prevent a new bank account from being opened, only those affected may be included in a comparison file who are actually suspected of money laundering or for whom there are other valid reasons for refusing a new bank account. The authority told a newspaper that the fine proceedings initiated against the bank had 'not yet been legally concluded'.;https://www.zaftda.de/tb-bundeslaender/berlin/695-tb-lfd-berlin-2018-ohne-drs-nr-vom-28-03-2019/file
33;Hungarian National Authority for Data Protection and the Freedom of Information (NAIH);Hungary;08.02.19;1560;Bank;No;NA;NA;Banks;NA;NA;NA;Yes;Art. 5 (1) d) GDPR;Non-compliance with general data processing principles;A bank mistakenly sent SMS messages about a subject's credit card debt to the telephone number of another person. After receiving an incorrect telephone number from the client at the time of contracting, the bank did not comply with the data subject's request to erase the data and continued to send SMS message to the incorrect telephone number. The fine represents 0.0016% of the annual profit of the bank.;http://www.cms-lawnow.com/ealerts/2019/03/hungary-fines-two-companies-for-gdpr-infringement?cc_lang=en
34;Hungarian National Authority for Data Protection and the Freedom of Information (NAIH);Hungary;20.02.19;1560;Debt collector;No;NA;NA;Finance & Insurance;NA;NA;NA;Yes;Art. 5 (1) a) GDPR, Art. 5 (1) c) GDPR;Non-compliance with general data processing principles;A data subject requested information about and erasure of the data processed, which the debt collector refused stating that it could not identify the subject. For identification purposes he requested place of birth, mother?s maiden name and further details from the data subject. After the controller succeeded to identify the data subjects he refused to comply with the deletion request, arguing he is legally obliged to retain backup copies according to the Accountancy Act and internal policies. Since he did not properly inform about these policies, the NAIH held the controller breached the principle of transparency. The fine constitutes 0.0025% of the annual profit of the controller.;http://www.cms-lawnow.com/ealerts/2019/03/hungary-fines-two-companies-for-gdpr-infringement?cc_lang=en
36;Hungarian National Authority for Data Protection and the Freedom of Information (NAIH);Hungary;28.02.19;3200;Mayor's Office of the city of Kecdkemet;Yes;NA;NA;Politics & Government;NA;NA;Other;Yes;Art. 5 (1) a) GDPR, Art. 6 GDPR;Insufficient legal basis for data processing;The fine was imposed on the Mayor?s Office of the city of Kecskemet for unlawful disclosure of the personal information of a whistleblower.NAIH imposed the fine after an employee of an organisation that it supervised reported a public interest complaint directly to it against his employer. After the organisation learned of the complaint, it requested details in order to investigate, and the local government accidentally revealed the complainant's name. The NAIH considered it an aggravating factor that as a result of the data breach, the organisation fired the person who made the report.;https://www.naih.hu/files/NAIH-2019-596-hatarozat.pdf
37;Hungarian National Authority for Data Protection and the Freedom of Information (NAIH);Hungary;04.03.19;3200;Unnamed financial institution;No;NA;NA;Finance & Insurance;NA;NA;NA;Yes;Art. 5 (1) b) GDPR, Art. 5 (1) c) GDPR, Art. 13 (3) GDPR, Art. 17 (1) GDPR, Art. 6 (4) GDPR;Insufficient fulfilment of data subjects rights;The fine was imposed in relation to a data subject's request for data correction and erasure. NAIH levied a fine against an unnamed financial institution for unlawfully rejecting a customer?s request to have his phone number erased after arguing that it was in the company's legitimate interest to process this data in order to enforce a debt claim against the customer. In its decision, the NAIH emphasised that the customer?s phone number is not necessary for the purpose of debt collection because the creditor can also communicate with the debtor by post. Consequently, keeping the phone number of the debtor was against the principles of data minimisation and purpose limitation. As per the law, the assessed fine was based on 0.025% of the company's annual net revenue.;https://www.naih.hu/files/NAIH-2019-2526-2-H-hatarozat.pdf
38;Hungarian National Authority for Data Protection and the Freedom of Information (NAIH);Hungary;05.04.19;34375;Hungarian political party;No;NA;NA;Politics & Government;NA;NA;Other;Yes;Art. 33 (1) GDPR, Art. 33 (5) GDPR, Art. 34 (1) GDPR;Insufficient fulfilment of data breach notification obligations;"NAIH imposed a fine of HUF 11,000,000 (EUR 34,375) on an undisclosed Hungarian political party for failing to notify the NAIH and relevant individuals about a data breach, and failing to document the breach according to GDPR Article 33.5. As mandated by law, the fine was based on 4% of the party's annual turnover and 2.65 % of its anticipated turnover for the coming year.

The breach was the result of a cyber attack by an anonymous hacker who accessed and disclosed information on the vulnerability of the organisation?s system ? a database of more than 6,000 individuals ? and the command used for the attack. The system was vulnerable to attack because of a redirection problem with the organisation's webpage. After the attacker published the command, even people with low IT knowledge were able to retrieve information from the database.";http://www.cms-lawnow.com/ealerts/2019/04/hungarian-data-authority-investigates-two-cases-of-privacy-breaches?cc_lang=en
39;Italian Data Protection Authority (Garante);Italy;17.04.19;50000;Italian political party Movimento 5 Stelle;Yes;NA;NA;Politics & Government;NA;NA;Other;Yes;Art. 32 GDPR;Insufficient technical and organisational measures to ensure information security;A number of websites affiliated to the Italian political party Movimento 5 Stelle are run, by means of a data processor, through the platform named Rousseau. The platform had suffered a data breach during the summer 2017 that led the Italian data protection authority, the Garante, to require the implementation of a number of security measures, in addition to the obligation to update the privacy information notice in order to give additional transparency to the data processing activities performed.While the update of the privacy information notice was timely completed, the Italian data protection authority, raised its concerns as to the lack of implementation on the Rousseau platform of some of GDPR related security measures. It is worth it to mention that the proceeding initiated before May 2018, but the Italian data protection authority issued a fine under the GDPR since the Rousseau platform had not adopted security measures required by means of an order issued after the 25th of May 2018. Interestingly, the fine was not issued against the Movimento 5 Stelle that is the data controller of the platform, but against the Rousseau association that is the data processor.;https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9101974
40;Lithuanian Data Protection Authority (VDAI);Lithuania;16.05.19;61500;Payment service provider UAB MisterTango;Yes;NA;NA;Finance & Insurance;NA;NA;NA;Yes;Art. 5 GDPR, Art. 32 GDPR, Art. 33 GDPR;Insufficient fulfilment of data breach notification obligations;During an inspection, the Lithuanian Data Protection Supervisory Authority found that the controller processed more data than necessary to achieve the purposes for which he was a controller. In addition, it became known that from 09 - 10 July 2018 payment data were publicly available on the internet due to inadequate technical and organisational measures. 9,000 payments with 12 banks from different countries were affected. According to the supervisory authority, a data breach notification pursuant to Art. 33 GDPR would have been necessary. The controller did not report the Data Breach.;https://www.ada.lt/go.php/lit/Imones-atsakomybes-neisvengs--lietuvoje-skirta-zenkli-bauda-uz-bendrojo-duomenu-apsaugos-reglamento-pazeidimus-/1
